id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2022-09-07,9,16.5,3,240,40.5,0,1021.7
12600,"Bielsko Biała",2022-09-07,9,19.1,2,10,62.5,0,1017.8
12235,Chojnice,2022-09-07,9,17.1,3,130,41.5,0,1020.5
12550,Częstochowa,2022-09-07,9,18.8,2,100,45.3,0,1018.8
12160,Elbląg,2022-09-07,9,15.4,2,110,56.4,0,1021.6
12155,Gdańsk,2022-09-07,9,15.9,2,90,57.3,0,1021.6
12300,Gorzów,2022-09-07,9,19,4,120,41.4,0,1017.4
12135,Hel,2022-09-07,9,15.4,3,130,62.6,0,1021.9
12500,"Jelenia Góra",2022-09-07,9,23.3,2,120,60.4,0.01,1015.1
12435,Kalisz,2022-09-07,9,17.8,4,80,47.3,0,1019.2
12650,"Kasprowy Wierch",2022-09-07,9,9.7,2,320,77.4,0.5,
12560,Katowice,2022-09-07,9,18.2,3,110,56.3,0,1018.5
12185,Kętrzyn,2022-09-07,9,16.6,1,290,41.4,0,1021.6
12570,Kielce,2022-09-07,9,18.6,4,150,38.5,0,1019.5
12520,Kłodzko,2022-09-07,9,20.1,1,100,69.6,0,1016.8
12345,Koło,2022-09-07,9,17.9,5,110,33.7,0,1020.2
12100,Kołobrzeg,2022-09-07,9,18.4,4,150,46.5,0,1018.8
12105,Koszalin,2022-09-07,9,18.8,3,120,41.4,0,1019.4
12488,Kozienice,2022-09-07,9,17.5,2,110,39.3,0,1021.1
12566,Kraków,2022-09-07,9,17.2,4,70,53.4,0,1019.2
12670,Krosno,2022-09-07,9,18,2,340,51.4,0,1018.8
12415,Legnica,2022-09-07,9,20.1,4,90,54.4,0,1016.4
12690,Lesko,2022-09-07,9,19.9,1,10,51.2,0,1018.2
12418,Leszno,2022-09-07,9,19.2,3,110,46.4,0,1017.6
12125,Lębork,2022-09-07,9,19.1,2,120,40.3,0,1020.6
12495,Lublin,2022-09-07,9,16.6,3,110,38.5,0,1021.3
12120,Łeba,2022-09-07,9,16.4,3,30,59.5,0,1021
12465,Łódź,2022-09-07,9,17.2,5,90,40.4,0,1020
12280,Mikołajki,2022-09-07,9,15.8,3,350,51.6,0,1021.8
12270,Mława,2022-09-07,9,16.9,3,150,36.5,0,1021.5
12660,"Nowy Sącz",2022-09-07,9,18.5,1,300,60.3,0.01,1018.4
12272,Olsztyn,2022-09-07,9,16.4,1,220,43.5,0,1021.7
12530,Opole,2022-09-07,9,18.4,2,80,56.3,0,1018.5
12285,Ostrołęka,2022-09-07,9,17.4,1,99,37.9,0,1022
12230,Piła,2022-09-07,9,18.1,4,110,42.4,0,1019.3
12001,Platforma,2022-09-07,9,16,2,120,56.6,0,1021.7
12360,Płock,2022-09-07,9,16.8,4,140,38.6,0.01,1021.2
12330,Poznań,2022-09-07,9,18.8,6,120,40.5,0,1018.6
12695,Przemyśl,2022-09-07,9,16.5,2,99,54.8,0,1020.2
12540,Racibórz,2022-09-07,9,18.3,2,110,64.4,0,1018.1
12210,Resko,2022-09-07,9,18.8,3,110,43.5,0,1018.2
12580,Rzeszów,2022-09-07,9,17.4,5,90,48.5,0,1019.8
12585,Sandomierz,2022-09-07,9,17.3,3,120,46.5,0,1020.3
12385,Siedlce,2022-09-07,9,16.6,3,140,33.6,0,1021.9
12310,Słubice,2022-09-07,9,21,5,130,47.4,0,1016
12469,Sulejów,2022-09-07,9,17.3,3,80,48.5,0,1019.9
12195,Suwałki,2022-09-07,9,14.7,2,270,49.6,0,1021.7
12205,Szczecin,2022-09-07,9,18.3,4,110,52.2,0,1017.5
12215,Szczecinek,2022-09-07,9,18.6,5,130,36.7,0,1019.3
12510,Śnieżka,2022-09-07,9,11.9,5,240,92.9,0,
12200,Świnoujście,2022-09-07,9,19.5,4,130,45.5,0,1017.7
12575,Tarnów,2022-09-07,9,18.7,2,80,46.5,0,1019.4
12399,Terespol,2022-09-07,9,16.8,1,230,37.5,0,1022.1
12250,Toruń,2022-09-07,9,17.8,4,110,39.4,0,1020.7
12115,Ustka,2022-09-07,9,13.3,4,40,68.5,0,1020.2
12375,Warszawa,2022-09-07,9,17.2,6,110,33.5,0,1021.3
12455,Wieluń,2022-09-07,9,18.9,3,60,43.5,0,1018.8
12497,Włodawa,2022-09-07,9,15.9,3,80,36.5,0,1022.1
12424,Wrocław,2022-09-07,9,19.5,5,110,52.5,0.01,1017.3
12625,Zakopane,2022-09-07,9,19.2,2,50,65.4,0,
12595,Zamość,2022-09-07,9,16.7,5,90,43.5,0,1021
12400,"Zielona Góra",2022-09-07,9,19.5,3,140,50.4,0,1016.5
