latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.25,21.0,113.0,0,GMT,GMT

time,temperature_2m
2022-09-07T00:00,9.5
2022-09-07T01:00,8.9
2022-09-07T02:00,8.3
2022-09-07T03:00,7.7
2022-09-07T04:00,7.1
2022-09-07T05:00,7.3
2022-09-07T06:00,9.0
2022-09-07T07:00,11.7
2022-09-07T08:00,14.7
2022-09-07T09:00,17.3
2022-09-07T10:00,18.5
2022-09-07T11:00,19.4
2022-09-07T12:00,20.0
2022-09-07T13:00,20.4
2022-09-07T14:00,20.5
2022-09-07T15:00,20.2
2022-09-07T16:00,19.4
2022-09-07T17:00,17.8
2022-09-07T18:00,15.7
2022-09-07T19:00,14.4
2022-09-07T20:00,13.3
2022-09-07T21:00,12.5
2022-09-07T22:00,11.8
2022-09-07T23:00,11.1
2022-09-08T00:00,10.5
2022-09-08T01:00,10.0
2022-09-08T02:00,9.5
2022-09-08T03:00,9.1
2022-09-08T04:00,8.6
2022-09-08T05:00,8.9
2022-09-08T06:00,10.6
2022-09-08T07:00,13.3
2022-09-08T08:00,16.3
2022-09-08T09:00,18.3
2022-09-08T10:00,19.3
2022-09-08T11:00,20.3
2022-09-08T12:00,21.0
2022-09-08T13:00,21.3
2022-09-08T14:00,21.3
2022-09-08T15:00,20.8
2022-09-08T16:00,19.8
2022-09-08T17:00,18.3
2022-09-08T18:00,16.5
2022-09-08T19:00,15.2
2022-09-08T20:00,14.3
2022-09-08T21:00,14.0
2022-09-08T22:00,13.7
2022-09-08T23:00,13.0
2022-09-09T00:00,12.5
2022-09-09T01:00,12.2
2022-09-09T02:00,12.2
2022-09-09T03:00,12.1
2022-09-09T04:00,12.1
2022-09-09T05:00,12.1
2022-09-09T06:00,11.3
2022-09-09T07:00,10.6
2022-09-09T08:00,10.6
2022-09-09T09:00,10.7
2022-09-09T10:00,10.9
2022-09-09T11:00,11.3
2022-09-09T12:00,11.8
2022-09-09T13:00,12.4
2022-09-09T14:00,12.9
2022-09-09T15:00,13.4
2022-09-09T16:00,13.4
2022-09-09T17:00,13.2
2022-09-09T18:00,12.9
2022-09-09T19:00,12.5
2022-09-09T20:00,12.0
2022-09-09T21:00,11.7
2022-09-09T22:00,11.5
2022-09-09T23:00,11.4
2022-09-10T00:00,11.4
2022-09-10T01:00,11.1
2022-09-10T02:00,11.0
2022-09-10T03:00,11.1
2022-09-10T04:00,11.3
2022-09-10T05:00,11.7
2022-09-10T06:00,12.4
2022-09-10T07:00,13.2
2022-09-10T08:00,14.1
2022-09-10T09:00,14.8
2022-09-10T10:00,14.5
2022-09-10T11:00,13.7
2022-09-10T12:00,12.7
2022-09-10T13:00,12.2
2022-09-10T14:00,11.8
2022-09-10T15:00,11.3
2022-09-10T16:00,11.1
2022-09-10T17:00,11.1
2022-09-10T18:00,11.0
2022-09-10T19:00,11.0
2022-09-10T20:00,11.0
2022-09-10T21:00,10.9
2022-09-10T22:00,10.8
2022-09-10T23:00,10.7
2022-09-11T00:00,10.6
2022-09-11T01:00,10.6
2022-09-11T02:00,10.6
2022-09-11T03:00,10.6
2022-09-11T04:00,10.5
2022-09-11T05:00,10.4
2022-09-11T06:00,10.5
2022-09-11T07:00,10.9
2022-09-11T08:00,11.5
2022-09-11T09:00,12.3
2022-09-11T10:00,12.8
2022-09-11T11:00,13.2
2022-09-11T12:00,13.4
2022-09-11T13:00,12.8
2022-09-11T14:00,11.8
2022-09-11T15:00,10.7
2022-09-11T16:00,10.5
2022-09-11T17:00,10.4
2022-09-11T18:00,10.5
2022-09-11T19:00,10.5
2022-09-11T20:00,10.5
2022-09-11T21:00,10.5
2022-09-11T22:00,10.4
2022-09-11T23:00,10.3
2022-09-12T00:00,10.2
2022-09-12T01:00,11.0
2022-09-12T02:00,10.6
2022-09-12T03:00,10.3
2022-09-12T04:00,10.4
2022-09-12T05:00,10.7
2022-09-12T06:00,11.6
2022-09-12T07:00,12.7
2022-09-12T08:00,14.2
2022-09-12T09:00,16.0
2022-09-12T10:00,16.9
2022-09-12T11:00,17.7
2022-09-12T12:00,18.5
2022-09-12T13:00,19.1
2022-09-12T14:00,19.5
2022-09-12T15:00,19.6
2022-09-12T16:00,18.9
2022-09-12T17:00,17.8
2022-09-12T18:00,16.5
2022-09-12T19:00,16.0
2022-09-12T20:00,15.6
2022-09-12T21:00,15.2
2022-09-12T22:00,15.0
2022-09-12T23:00,14.8
2022-09-13T00:00,14.7
2022-09-13T01:00,14.6
2022-09-13T02:00,14.5
2022-09-13T03:00,14.3
2022-09-13T04:00,14.1
2022-09-13T05:00,13.8
2022-09-13T06:00,13.9
2022-09-13T07:00,14.4
2022-09-13T08:00,15.2
2022-09-13T09:00,16.3
2022-09-13T10:00,17.0
2022-09-13T11:00,17.8
2022-09-13T12:00,18.4
2022-09-13T13:00,18.5
2022-09-13T14:00,18.2
2022-09-13T15:00,17.8
2022-09-13T16:00,17.4
2022-09-13T17:00,17.1
2022-09-13T18:00,16.7
2022-09-13T19:00,16.5
2022-09-13T20:00,16.5
2022-09-13T21:00,16.3
2022-09-13T22:00,16.0
2022-09-13T23:00,15.6
